login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
h2non;Dublin, Ireland;145;3416;1614;152;11
afk11;Dublin, Ireland;24;2831;2;21;0
DarthGandalf;Ireland, Dublin;53;2073;19;12;0
erwanm;Dublin;5;1914;4;144;114
TGuillerme;Dublin (Ireland);10;1561;8;40;3
filipegoncalves;Dublin, Ireland;17;1517;12;185;2
AtiX;Dublin, Ireland;5;1515;4;6;0
maksimov;Dublin, Ireland;4;1379;0;13;0
vitaly-t;Dublin, Ireland;13;1350;161;24;0
sarahquigley;Dublin / New York;14;1350;7;15;3
sjbarlas;Dublin, Ireland;6;1325;0;48;0
Cian911;Dublin;1;1306;3;244;0
barnex;Dublin, Ireland;26;1270;134;24;0
crespo2014;Dublin;1;1248;1;23;0
johnmcclean-aol;Dublin;16;1241;0;28;0
ismagom;Dublin, Ireland;11;1212;5;8;0
lkrnac;Dublin;15;1078;20;18;0
damianh;The Hague, Netherlands (prev Dublin, Ireland);113;1036;439;14;0
biroa;Dublin;1;991;0;60;5
dominykas;Dublin, IE / Kaunas, LT;24;950;18;69;12
mave99a;Dublin, Ireland;25;950;59;6;0
huaruiwu;Dublin, CA;8;903;7;6;4
edsko;Dublin, Ireland;31;873;31;8;0
jeromeetienne;Dublin, Ireland;685;849;4165;9;0
DavidJones02;Dublin, Ireland;2;840;0;6;2
viniciuschiele;Dublin, Ireland;5;801;17;62;7
endel;Dublin, Ireland;107;779;616;23;2
claudiopro;Dublin, Ireland;11;775;21;19;3
gerleone73;Dublin 7 , Ireland;4;775;0;10;0
goyox86;Dublin, Ireland;21;759;20;5;0
dariocravero;Dublin, Ireland;49;757;198;13;0
aldanor;Dublin, Ireland;12;748;86;14;0
benweet;Dublin, Ireland;260;743;105;12;6
gchp;Dublin, Ireland;42;741;943;43;0
tangentfairy;Dublin;9;692;0;12;3
flammie;Dublin;4;688;15;8;2
iChun;Dublin, Ireland;289;647;263;13;0
stephenc;Dublin, Ireland;52;641;273;6;2
Specialkbyte;Dublin Ireland;20;639;9;25;0
murphd37;Dublin, Ireland;0;631;13;10;0
Flavien;Dublin, Ireland;56;615;4;45;9
bobbyrne01;Dublin;16;610;67;16;0
lcavadas;Dublin, Ireland;10;601;17;5;0
briandipalma;Dublin, Ireland;19;598;20;125;0
urschrei;London ⇄ Dublin;55;592;182;12;0
starkshaw;Dublin, Ireland;10;582;8;22;0
benmcmahon100;Dublin, Ireland;24;580;0;17;0
kainjow;Dublin, CA;44;557;249;6;0
zubidlo;Dublin;2;540;0;14;2
